duration1,dates1,duration2,dates2,duration3,dates3,duration4,dates4,duration5,dates5,duration6,dates6
9,1959-07-04/1959-07-12,3,1959-06-04/1959-06-06,6,1959-07-11/1959-07-16,6,1959-06-04/1959-06-09,8,1959-06-07/1959-06-14,9,1959-06-05/1959-06-13
2,1959-07-20/1959-07-21,3,1959-06-22/1959-06-24,1,1959-07-30/1959-07-30,4,1959-06-23/1959-06-26,5,1959-07-01/1959-07-05,3,1959-06-17/1959-06-19
2,1959-07-27/1959-07-28,9,1959-07-04/1959-07-12,4,1960-06-07/1960-06-10,5,1959-07-05/1959-07-09,8,1959-07-10/1959-07-17,4,1959-08-05/1959-08-08
1,1959-08-17/1959-08-17,11,1959-07-18/1959-07-28,3,1960-07-19/1960-07-21,1,1959-07-13/1959-07-13,2,1959-07-30/1959-07-31,4,1959-08-14/1959-08-17
6,1960-06-17/1960-06-22,8,1959-08-07/1959-08-14,5,1960-08-25/1960-08-29,10,1959-07-17/1959-07-26,2,1959-08-24/1959-08-25,1,1960-06-15/1960-06-15
1,1960-07-26/1960-07-26,9,1959-08-19/1959-08-27,1,1961-06-01/1961-06-01,1,1959-08-02/1959-08-02,7,1960-06-10/1960-06-16,5,1960-06-29/1960-07-03
2,1960-08-23/1960-08-24,5,1960-06-02/1960-06-06,7,1961-06-22/1961-06-28,14,1959-08-11/1959-08-24,16,1960-07-15/1960-07-30,10,1960-07-10/1960-07-19
1,1960-08-29/1960-08-29,10,1960-06-17/1960-06-26,1,1961-07-04/1961-07-04,12,1960-05-27/1960-06-07,1,1960-08-31/1960-08-31,6,1960-07-27/1960-08-01
4,1961-06-19/1961-06-22,7,1960-08-22/1960-08-28,1,1961-07-13/1961-07-13,5,1960-06-23/1960-06-27,12,1961-06-08/1961-06-19,5,1960-08-12/1960-08-16
2,1961-06-29/1961-06-30,4,1961-06-23/1961-06-26,7,1961-08-07/1961-08-13,7,1960-07-05/1960-07-11,2,1961-06-27/1961-06-28,14,1961-06-05/1961-06-18
4,1961-07-08/1961-07-11,4,1961-06-30/1961-07-03,6,1962-05-28/1962-06-02,4,1960-07-15/1960-07-18,5,1961-07-30/1961-08-03,3,1961-07-06/1961-07-08
1,1961-07-26/1961-07-26,1,1961-08-05/1961-08-05,6,1962-06-20/1962-06-25,7,1960-07-27/1960-08-02,4,1963-07-17/1963-07-20,6,1961-07-12/1961-07-17
1,1961-08-05/1961-08-05,9,1961-08-27/1961-09-04,1,1962-07-12/1962-07-12,4,1960-08-24/1960-08-27,1,1963-07-26/1963-07-26,1,1961-08-26/1961-08-26
6,1961-08-26/1961-08-31,4,1962-06-15/1962-06-18,3,1962-07-26/1962-07-28,11,1961-05-31/1961-06-10,1,1963-08-22/1963-08-22,1,1962-07-04/1962-07-04
5,1962-06-21/1962-06-25,2,1962-06-22/1962-06-23,15,1962-08-04/1962-08-18,1,1961-07-02/1961-07-02,14,1963-08-28/1963-09-10,4,1963-06-26/1963-06-29
1,1962-07-03/1962-07-03,2,1962-07-25/1962-07-26,6,1962-08-25/1962-08-30,7,1961-07-13/1961-07-19,3,1964-06-01/1964-06-03,5,1963-07-17/1963-07-21
1,1962-07-14/1962-07-14,3,1962-08-12/1962-08-14,11,1963-06-22/1963-07-02,3,1961-08-30/1961-09-01,2,1964-06-21/1964-06-22,1,1963-07-26/1963-07-26
1,1962-07-19/1962-07-19,3,1963-05-30/1963-06-01,3,1963-07-19/1963-07-21,9,1963-05-25/1963-06-02,5,1964-07-12/1964-07-16,1,1963-08-03/1963-08-03
